step,co,stel_co,twa_co,proj_co,no2,stel_no2,twa_no2,proj_no2,model_ok,x0,x1,x2,x3,x4,x5,x6,x7,rule_co,lp_co,rule_no2,lp_no2
0,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.52047,0.5061417,0,0,0,0
1,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.5076523,0.5127031,0,0,0,0
2,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.5429007,0.5170519,0,0,0,0
3,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.5455711,0.4992371,0,0,0,0
4,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.5359577,0.4990845,0,0,0,0
5,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.5260776,0.506218,0,0,0,0
6,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.520203,0.5120546,0,0,0,0
7,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.52047,0.5153354,0,0,0,0
8,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.5135273,0.5170139,0,0,0,0
9,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.5145952,0.5188831,0,0,0,0
10,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.5260776,0.5173191,0,0,0,0
11,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.5300831,0.512665,0,0,0,0
12,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.5300831,0.512665,0,0,0,0
13,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.5300831,0.512665,0,0,0,0
14,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.5300831,0.512665,0,0,0,0
15,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.5300831,0.512665,0,0,0,0
16,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.5300831,0.512665,0,0,0,0
17,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.5300831,0.512665,0,0,0,0
18,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.5300831,0.512665,0,0,0,0
19,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.5300831,0.512665,0,0,0,0
20,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.5300831,0.512665,0,0,0,0
21,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6539863,0.4052414,0,0,0,0
22,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6203402,0.4194325,0,0,0,0
23,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.5933698,0.4425117,0,0,0,0
24,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.5904325,0.4583809,0,0,0,0
25,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6059204,0.4559013,0,0,0,0
26,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6232777,0.447509,0,0,0,0
27,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6302204,0.4370947,0,0,0,0
28,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6328907,0.4300373,0,0,0,0
29,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6387655,0.4252308,0,0,0,0
30,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
31,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
32,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
33,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
34,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
35,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
36,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
37,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
38,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
39,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
40,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
41,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
42,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
43,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
44,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
45,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.6486458,0.4256123,0,0,0,0
