t_ms,co,no2,temp,rh
0,0,0.172045,29.1539,76.7878
5000,0,0,29.1728,76.7794
10000,0,0,29.1201,76.8492
15000,0,0,29.1142,76.7748
20000,0,0.106459,29.133,76.7033
25000,0,0,29.1464,76.7714
30000,0,0.227638,29.156,76.7313
35000,0,0.12493,29.1625,76.7406
40000,0,0.179066,29.1481,76.7866
45000,0,0,29.1377,76.6847
50000,0,0.201897,29.1569,76.8293
55000,0,0.179066,29.1271,76.7836
60000,0,0.210136,29.1732,76.8171
65000,0,0.140858,29.1214,76.6984
70000,0,0.110803,29.1156,76.6419
75000,0,0.256661,29.1536,76.7144
80000,0,0.130029,29.1544,76.7592
85000,0,0.130029,29.145,76.6925
90000,0,0.130029,29.1654,76.7477
95000,0,0.15259,29.1518,76.7686
100000,0,0.246597,29.1086,76.8211
105000,0,0,29.104,76.7166
110000,0,0.15259,29.1403,76.8161
115000,0,0.201897,29.144,76.7167
120000,0,0.172045,29.1803,76.833
125000,0,0.135335,29.1173,76.7347
130000,0,0.115325,29.1249,76.8388
135000,0,0.227638,29.1232,76.7616
140000,0,0.172045,29.1371,76.8187
145000,0,0.165299,29.1773,76.8057
150000,0,0.227638,29.1304,76.8184
155000,0,0.165299,29.1035,76.8296
160000,0,0.179066,29.115,76.8507
165000,0,0,29.1604,76.8175
170000,0,0.15259,29.1363,76.877
175000,0,0.12493,29.1482,76.7553
180000,0,0.15259,29.1531,76.8188
185000,0,0.146607,29.1515,76.8485
190000,0,0.115325,29.1538,76.8414
195000,0,0.19398,29.1487,76.8067
200000,0,0,29.1572,76.8895
205000,0,0.172045,29.127,76.8202
210000,0,0,29.1592,76.8596
215000,0,0.201897,29.1403,76.8275
220000,0,0.165299,29.1179,76.7987
225000,0,0.120032,29.1261,76.8853
230000,0,0,29.1476,76.8166
235000,0,0.158817,29.135,76.8226
240000,0,0.210136,29.1341,76.8708
245000,0,0.172045,29.1794,76.7496
250000,0,0.15259,29.1319,76.7779
255000,0,0,29.1391,76.8959
