step,co,stel_co,twa_co,proj_co,no2,stel_no2,twa_no2,proj_no2,model_ok,x0,x1,x2,x3,x4,x5,x6,x7,rule_co,lp_co,rule_no2,lp_no2
0,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2326677,0.3391787,0,0,0,0
1,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2234363,0.3405997,0,0,0,0
2,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2279427,0.3368674,0,0,0,0
3,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.23185,0.3367971,0,0,0,0
4,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2285791,0.3367829,0,0,0,0
5,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2283988,0.3403228,0,0,0,0
6,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2294556,0.3378887,0,0,0,0
7,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2269132,0.3339066,0,0,0,0
8,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2299346,0.3362935,0,0,0,0
9,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2317194,0.3379082,0,0,0,0
10,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2212567,0.3384421,0,0,0,0
11,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2284222,0.3383194,0,0,0,0
12,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2297513,0.3391933,0,0,0,0
13,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2248036,0.3400102,0,0,0,0
14,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2314342,0.3406087,0,0,0,0
15,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2233954,0.3411987,0,0,0,0
16,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2275455,0.3417041,0,0,0,0
17,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.228455,0.3408067,0,0,0,0
18,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2304603,0.3416815,0,0,0,0
19,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2302506,0.341201,0,0,0,0
20,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2284167,0.3427433,0,0,0,0
21,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2299427,0.3421772,0,0,0,0
22,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2244014,0.3420998,0,0,0,0
23,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2282623,0.3409795,0,0,0,0
24,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2313558,0.3405115,0,0,0,0
25,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2271015,0.341845,0,0,0,0
26,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2293164,0.3393538,0,0,0,0
27,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2261112,0.3387353,0,0,0,0
28,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2314879,0.3421066,0,0,0,0
29,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2295743,0.3428697,0,0,0,0
30,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2223469,0.3411193,0,0,0,0
31,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2287592,0.3421658,0,0,0,0
32,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2301783,0.3426356,0,0,0,0
33,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2283524,0.3456208,0,0,0,0
34,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.22617,0.3432322,0,0,0,0
35,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2270827,0.3446852,0,0,0,0
36,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2324836,0.3454309,0,0,0,0
37,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2228434,0.3435371,0,0,0,0
38,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2264166,0.3414288,0,0,0,0
39,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2266306,0.3423624,0,0,0,0
40,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2275139,0.3458143,0,0,0,0
41,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2248115,0.3470441,0,0,0,0
42,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2278565,0.3430412,0,0,0,0
43,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2246575,0.3469227,0,0,0,0
44,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2259294,0.3433125,0,0,0,0
45,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2243956,0.3435713,0,0,0,0
46,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2214374,0.3448137,0,0,0,0
47,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.226402,0.3474097,0,0,0,0
48,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.230756,0.3472304,0,0,0,0
49,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2281015,0.3454837,0,0,0,0
50,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2287553,0.3482569,0,0,0,0
51,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0.2287186,0.3484325,0,0,0,0
