t_ms,co,no2,temp,rh
0,nan,nan,30.6237,80.0961
5000,nan,nan,30.581,80.1495
10000,nan,nan,30.5249,80.2151
15000,nan,nan,30.5516,80.293
20000,nan,nan,30.6798,80.4395
25000,nan,nan,30.7492,80.2426
30000,0,nan,30.7359,80.0122
35000,0,nan,30.7198,79.9573
40000,0,0.174297,30.6798,79.9451
45000,0,0.216313,30.6798,80.0183
50000,0,0.216313,30.6371,80.0809
55000,0,0.350906,30.6237,80.1678
60000,0,0.350906,30.5943,80.2136
65000,0,0.350906,30.6077,80.2686
71000,0,0.398864,30.6237,80.3433
76000,0,0.350906,30.581,80.2701
81000,0,0.350906,30.5676,80.3296
86000,0,0.216313,30.5676,80.351
91000,0,0.448505,30.5516,80.3662
96000,0,0.216313,30.5943,80.3891
101000,0,0.350906,30.6237,80.3647
106000,0,0.398864,30.6371,80.3281
111000,0,0.350906,30.6638,80.2823
116000,0,0.398864,30.6371,80.2243
214000,6.74754,0,31.2699,78.1048
219000,22.6551,0,31.1444,78.2605
224000,9.84493,0,31.059,78.5168
229000,8.49805,0,31.0163,78.764
234000,5.744,0,30.9174,78.9364
240000,0,0,30.9308,79.1058
245000,6.74754,0.0187757,30.9735,79.2294
250000,6.74754,0.133594,31.0163,79.147
255000,6.74754,0,31.043,79.089
260000,6.74754,0.216313,31.1017,78.9822
265000,6.74754,0.133594,31.1311,78.9181
270000,7.88001,0.133594,31.1578,78.7808
275000,7.88001,0.133594,31.1444,78.703
280000,6.74754,0.133594,31.1578,78.6358
285000,7.88001,0.0187757,31.1711,78.5657
290000,9.15254,0,31.2005,78.5428
295000,10.5768,0.0187757,31.1872,78.4665
300000,5.744,0,31.2432,78.5122
1645000,394.423,0,30.4929,81.0712
1650000,245.623,0,30.4795,80.9781
1655000,156.394,0,30.4795,80.8225
1660000,120.079,0,30.5383,80.8469
1665000,78.1714,0,30.5516,80.737
1670000,73.515,0,30.5943,80.6256
1675000,54.977,0,30.6371,80.5341
1681000,44.4621,0,30.6504,80.3922
1686000,43.2097,0.0187757,30.6931,80.2884
1691000,37.2819,0.0187757,30.7198,80.1923
1696000,37.2819,0.133594,30.7065,80.119
1701000,35.0636,0.0941435,30.7198,80.0595
1706000,29.8871,0,30.6931,79.8886
