t_ms,co,no2,temp,rh
0,0,0,25.5645,74.3689
5000,0,0.301194,25.5917,74.2772
10000,5.58453,0.146607,25.5768,74.3128
15000,0,0,25.5763,74.2544
20000,5.58453,0,25.5992,74.2809
25000,0,0,25.5965,74.2259
30000,0,0,25.6007,74.1691
35000,5.81244,0,25.5723,74.2233
40000,0,0,25.5838,74.1895
45000,0,0,25.6135,74.2019
50000,5.81244,0,25.6045,74.2338
55000,6.82096,0,25.5746,74.2221
60000,0,0,25.593,74.1895
65000,0,0,25.6394,74.1928
70000,0,0,25.5819,74.2242
75000,5.81244,0.172045,25.5669,74.0951
80000,0,0,25.5704,74.276
85000,0,0,25.6163,74.1275
90000,0,0,25.5756,74.0883
95000,0,0.146607,25.5806,74.1347
100000,0,0,25.6184,74.2436
105000,0,0.110803,25.6038,74.2184
110000,7.09933,0,25.6193,74.2164
115000,0,0,25.6093,74.213
120000,6.29654,0.256661,25.6192,74.1094
125000,0,0.218712,25.5936,74.1553
130000,0,0,25.5925,74.1621
135000,0,0.278037,25.6324,74.1561
140000,0,0.313486,25.611,74.1239
145000,0,0.106459,25.6012,74.155
150000,0,0.15259,25.6279,74.1196
155000,7.09933,0,25.6486,74.1672
160000,0,0,25.631,74.2331
165000,6.04965,0.398519,25.6685,74.2549
170000,5.36556,0.110803,25.6545,74.1219
175000,5.15517,0,25.6253,74.1831
180000,7.09933,0,25.6097,74.2518
185000,5.81244,0,25.5978,74.2075
190000,0,0.278037,25.6024,74.1915
195000,0,0,25.6291,74.1972
200000,5.36556,0,25.5985,74.1908
205000,0,0,25.6268,74.2818
210000,0,0,25.6343,74.1613
215000,0,0.246597,25.6284,74.0641
220000,5.36556,0,25.6128,74.1627
225000,0,0,25.6213,74.229
230000,0,0,25.6018,74.1821
235000,0,0,25.6068,74.0976
240000,0,0,25.6208,74.1449
245000,0,0,25.6225,74.267
250000,0,0,25.6488,74.1301
255000,6.5535,0,25.596,74.1744
260000,0,0,25.6577,74.1597
265000,0,0.267135,25.5896,74.1627
270000,0,0,25.6371,74.1829
275000,7.38906,0,25.5898,74.1883
280000,0,0.15259,25.643,74.1957
285000,0,0,25.6392,74.0816
290000,8.00447,0,25.6405,74.1537
295000,8.00447,0.267135,25.626,74.1493
300000,0,0,25.6462,74.1061
305000,0,0,25.6399,74.1448
310000,0,0,25.6629,74.0934
315000,0,0,25.6201,74.1139
320000,0,0,25.6532,74.0803
