step,co,stel_co,twa_co,proj_co,no2,stel_no2,twa_no2,proj_no2,model_ok,x0,x1,x2,x3,x4,x5,x6,x7,rule_co,lp_co,rule_no2,lp_no2
0,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4843747,0.2161529,0,0,0,0
1,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4846888,0.2141806,0,0,0,0
2,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4804295,0.2126698,0,0,0,0
3,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4827031,0.2098104,0,0,0,0
4,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4802713,0.2097846,0,0,0,0
5,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4820949,0.2113962,0,0,0,0
6,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4767614,0.2095585,0,0,0,0
7,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4851162,0.2079828,0,0,0,0
8,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4813251,0.2100876,0,0,0,0
9,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4843809,0.2055734,0,0,0,0
10,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4777848,0.2115502,0,0,0,0
11,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4771445,0.2107337,0,0,0,0
12,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4787172,0.2066171,0,0,0,0
13,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4775161,0.2079563,0,0,0,0
14,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4787798,0.2069705,0,0,0,0
15,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4723413,0.2071697,0,0,0,0
16,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.470052,0.2122008,0,0,0,0
17,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4720203,0.2076249,0,0,0,0
18,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4792497,0.2114837,0,0,0,0
19,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4768502,0.2097178,0,0,0,0
20,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4774665,0.211814,0,0,0,0
21,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4737349,0.2056344,0,0,0,0
22,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.47659,0.2097934,0,0,0,0
23,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4791464,0.2069912,0,0,0,0
24,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4756698,0.2102976,0,0,0,0
25,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4755206,0.2076138,0,0,0,0
26,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4752679,0.2080606,0,0,0,0
27,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4773116,0.2092789,0,0,0,0
28,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4717788,0.2069347,0,0,0,0
29,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4733506,0.2075764,0,0,0,0
30,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.471391,0.2062728,0,0,0,0
31,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4716996,0.2051841,0,0,0,0
32,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4691898,0.2017152,0,0,0,0
33,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4749496,0.206845,0,0,0,0
34,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4727414,0.2035336,0,0,0,0
35,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.467566,0.2043103,0,0,0,0
36,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4655511,0.20963,0,0,0,0
37,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4736775,0.201144,0,0,0,0
38,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4697855,0.2050935,0,0,0,0
39,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4678823,0.2030974,0,0,0,0
40,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4707592,0.2016137,0,0,0,0
41,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.470286,0.2036308,0,0,0,0
42,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4705153,0.2023809,0,0,0,0
43,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4712774,0.202245,0,0,0,0
44,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4636413,0.2023532,0,0,0,0
45,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4686186,0.200071,0,0,0,0
46,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4653689,0.2015844,0,0,0,0
47,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4698903,0.2023313,0,0,0,0
48,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4663751,0.2013405,0,0,0,0
49,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4670362,0.2001897,0,0,0,0
50,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4691548,0.1993399,0,0,0,0
51,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4691972,0.1996352,0,0,0,0
52,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4695202,0.1993342,0,0,0,0
53,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4675373,0.1984472,0,0,0,0
54,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4627815,0.199361,0,0,0,0
55,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4653167,0.2001872,0,0,0,0
56,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4665406,0.2018643,0,0,0,0
57,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4605127,0.2000668,0,0,0,0
58,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4646363,0.1967218,0,0,0,0
59,nan,nan,0,nan,nan,nan,0,nan,0,0,0,0,0,0,0,-0.4649799,0.1985642,0,0,0,0
60,0,nan,0,nan,0,nan,0,nan,0,0,0,0,0,0,0,-0.4651205,0.1986766,0,0,0,0
61,3.276752,nan,0.001137761,nan,0.1232985,nan,4.281197e-05,nan,0,0.1294102,0.03308857,0,0,0,0,-0.4579698,0.2009649,0,0,0,0
62,0,nan,0.001137761,nan,0.1738655,nan,0.0001031819,nan,0,0,0.04644238,0,0,0,0,-0.4614081,0.1953338,0,0,0,0
63,0,nan,0.001137761,nan,0.105068,nan,0.0001396639,nan,0,0,0.02824377,0,0,0,0,-0.4621429,0.1989068,0,0,0,0
64,0,nan,0.001137761,nan,0.07940871,nan,0.0001672364,nan,0,0,0.02139704,0,0,0,0,-0.4623838,0.195687,0,0,0,0
65,0,0.5461254,0.001137761,nan,0.09699002,0.09643845,0.0002009134,nan,0,0,0.0260918,0.02239065,0.02594475,0,0,-0.463544,0.1977007,0,0,0,0
66,3.410479,0.9553188,0.002321955,nan,0,0.08266153,0.0002009134,nan,0,0.1344528,0,0.03894238,0.0222668,0,0,-0.4626045,0.1973126,0,0,0,0
67,0,0.835904,0.002321955,nan,0,0.07232884,0.0002009134,nan,0,0,0,0.03413168,0.01950217,0,0,-0.4590183,0.1934949,0,0,0,0
68,3.410479,1.121968,0.00350615,nan,0,0.0642923,0.0002009134,nan,0,0.1344528,0,0.04562924,0.01734824,0,0,-0.4636851,0.1939044,0,0,0,0
69,0,1.009771,0.00350615,nan,0,0.05786307,0.0002009134,nan,0,0,0,0.04113071,0.01562277,0,0,-0.4565827,0.1973714,0,0,0,0
70,0,0.9179737,0.00350615,nan,0,0.05260279,0.0002009134,nan,0,0,0,0.03743964,0.01420949,0,0,-0.4589087,0.1964425,0,0,0,0
71,6.232442,1.360846,0.005670192,nan,0.1232985,0.0584941,0.0002437254,nan,0,0.2369489,0.03308857,0.05516058,0.01579222,0,0,-0.455064,0.1938468,0,0,0,0
72,0,1.256166,0.005670192,nan,0,0.05399455,0.0002437254,nan,0,0,0,0.05099154,0.01458355,0,0,-0.457323,0.1956025,0,0,0,0
73,0,1.166439,0.005670192,nan,0,0.0501378,0.0002437254,nan,0,0,0,0.04740845,0.01354674,0,0,-0.4614922,0.1932324,0,0,0,0
74,0,1.088677,0.005670192,nan,0,0.04679528,0.0002437254,nan,0,0,0,0.0442959,0.01264757,0,0,-0.4567983,0.1964518,0,0,0,0
75,0,1.020635,0.005670192,nan,0.09699002,0.04993245,0.0002774025,nan,0,0,0.0260918,0.04156689,0.01349152,0,0,-0.451269,0.1942936,0,0,0,0
76,0,0.9605972,0.005670192,nan,0.05540158,0.05025416,0.0002966392,nan,0,0,0.01496161,0.03915466,0.01357803,0,0,-0.4559567,0.1955242,0,0,0,0
77,0,0.9072307,0.005670192,nan,0,0.04746227,0.0002966392,nan,0,0,0,0.03700705,0.01282704,0,0,-0.4563559,0.1939117,0,0,0,0
78,0,0.8594817,0.005670192,nan,0.05540158,0.04788012,0.0003158758,nan,0,0,0.01496161,0.0350828,0.01293947,0,0,-0.4545605,0.1971175,0,0,0,0
79,3.845305,1.008773,0.007005367,nan,0.06001581,0.04848691,0.0003367146,nan,0,0.1507284,0.01620075,0.04109063,0.01310271,0,0,-0.4523448,0.1895337,0,0,0,0
80,0,0.960736,0.007005367,nan,0.09318699,0.05061548,0.0003690712,nan,0,0,0.02507757,0.03916024,0.0136752,0,0,-0.4568727,0.1928579,0,0,0,0
81,0,0.9170662,0.007005367,nan,0,0.04831478,0.0003690712,nan,0,0,0,0.0374031,0.0130564,0,0,-0.4591272,0.1955482,0,0,0,0
82,0,0.8771938,0.007005367,nan,0,0.04621414,0.0003690712,nan,0,0,0,0.03579688,0.01249118,0,0,-0.4546396,0.1939648,0,0,0,0
83,0,0.840644,0.007005367,nan,0,0.04428855,0.0003690712,nan,0,0,0,0.03432295,0.01197287,0,0,-0.4550273,0.1923569,0,0,0,0
84,0,0.8070183,0.007005367,nan,0.06501436,0.04511758,0.0003916457,nan,0,0,0.01754189,0.03296559,0.01219604,0,0,-0.4581921,0.1952922,0,0,0,0
85,2.682778,0.8791629,0.007936887,nan,0,0.04338229,0.0003916457,nan,0,0.1067972,0,0.03587625,0.01172887,0,0,-0.4568442,0.1905313,0,0,0,0
86,0,0.8466013,0.007936887,nan,0.2601299,0.05140998,0.0004819686,nan,0,0,0.06894176,0.03456329,0.01388882,0,0,-0.461276,0.1941412,0,0,0,0
87,0,0.8163655,0.007936887,nan,0,0.04957391,0.0004819686,nan,0,0,0,0.03334304,0.01339509,0,0,-0.4513329,0.1920231,0,0,0,0
