t_s,co_ppm,co_stel15_ppm,co_twa8h_ppm,co_proj10_ppm,co_p_model,co_state,no2_ppm,no2_stel15_ppm,no2_twa8h_ppm,no2_proj10_ppm,no2_p_model,no2_state,model_ran,warmup_or_nodata
10,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
20,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
30,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
40,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
50,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
60,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
70,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
80,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
90,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
100,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
110,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
120,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
130,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
140,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
150,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
160,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
170,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
180,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
190,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
200,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
210,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
220,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
230,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
240,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
250,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
260,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
270,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
280,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
290,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
300,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
310,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
320,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
330,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
340,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
350,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
360,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
370,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
380,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
390,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
400,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
410,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
420,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
430,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
440,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
450,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
460,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
470,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
480,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
490,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
500,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
510,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
520,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
530,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
540,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
550,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
560,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
570,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
580,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
590,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
600,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
610,2.7,,0.0009375,,,AN_TOAN,0.169,,5.868e-05,,,AN_TOAN,False,False
620,0,,0.0009375,,,AN_TOAN,0.1235,,0.0001016,,,AN_TOAN,False,False
630,0,,0.0009375,,,AN_TOAN,0.0735,,0.0001271,,,AN_TOAN,False,False
640,0,,0.0009375,,,AN_TOAN,0.058,,0.0001472,,,AN_TOAN,False,False
650,0,,0.0009375,,,AN_TOAN,0.1205,,0.0001891,,,AN_TOAN,False,False
660,0,0.45,0.0009375,,,AN_TOAN,0.1285,0.1122,0.0002337,,,AN_TOAN,False,False
670,0,0.3857,0.0009375,,,AN_TOAN,0,0.09614,0.0002337,,,AN_TOAN,False,False
680,3.4,0.7625,0.002118,,,AN_TOAN,0.145,0.1023,0.000284,,,AN_TOAN,False,False
690,0,0.6778,0.002118,,,AN_TOAN,0.1095,0.1031,0.000322,,,AN_TOAN,False,False
700,0,0.61,0.002118,,,AN_TOAN,0.068,0.09955,0.0003457,,,AN_TOAN,False,False
710,0,0.5545,0.002118,,,AN_TOAN,0.2235,0.1108,0.0004233,,,AN_TOAN,False,False
