t_s,co_ppm,no2_ppm,temp_c,rh_pct
0,0,0.271,28.06,67.07
5,6.6,0.231,28.04,67.07
10,8,0.134,28.03,67.17
15,0,0.004,28.02,67.15
20,6.6,0.231,28.05,67.16
25,6.3,0.003,28.05,67.1
30,0,0.003,28.02,67.15
35,0,0.123,28.06,67.04
40,0,0.15,28.07,67.04
45,6.8,0.003,28.07,67.04
50,0,0.003,28.05,67.1
55,0,0.197,28.07,67.07
60,5.8,0.003,28.07,67.08
65,7.7,0.138,28.05,67.11
70,0,0.003,28.08,67.22
75,0,0.003,28.09,67.04
80,0,0.133,28.09,67.1
85,5.4,0.197,28.07,67.05
90,0,0.003,28.06,67.06
95,5.6,0.003,28.06,67
100,0,0.189,28.07,67.11
105,0,0.002,28.07,67.03
110,0,0.181,28.07,67.09
115,0,0.002,28.08,67.1
120,6.8,0.002,28.08,67.04
125,0,0.002,28.08,67.06
130,6.1,0.002,28.06,67.07
135,0,0.212,28.06,67.02
140,0,0.002,28.09,66.98
145,0,0.002,28.09,67.03
150,0,0.002,28.1,67.03
155,0,0.002,28.09,66.99
160,6.1,0.002,28.12,67
165,0,0.002,28.08,66.94
170,0,0.291,28.09,66.96
175,6.3,0.239,28.06,66.98
180,0,0.002,28.08,66.99
185,0,0.291,28.1,66.96
190,6.6,0.002,28.05,66.95
195,0,0.002,28.06,67.03
200,0,0.127,28.1,66.95
205,5.2,0.002,28.11,66.89
210,0,0.122,28.09,66.96
215,5.4,0.002,28.1,66.96
220,5.6,0.001,28.09,66.97
225,0,0.126,28.11,67.02
230,0,0.001,28.08,66.98
235,0,0.001,28.14,66.95
240,0,0.001,28.12,66.99
245,0,0.001,28.09,66.93
250,0,0.22,28.05,66.86
255,8.3,0.142,28.14,66.93
260,0,0.001,28.13,66.92
265,5.8,0.001,28.11,66.9
270,0,0.001,28.09,66.94
275,5.8,0.001,28.11,66.91
280,0,0.4,28.11,66.94
285,0,0.001,28.1,66.96
290,0,0.384,28.13,66.92
295,0,0.001,28.12,66.81
300,6.1,0.001,28.08,66.89
305,0,0.001,28.12,66.89
310,0,0.001,28.13,66.93
315,0,0.001,28.1,66.82
320,5.6,0.001,28.13,66.9
325,0,0.121,28.11,66.87
330,0,0.001,28.12,66.79
335,0,0.173,28.15,66.89
340,5.8,0.187,28.1,66.82
345,0,0.142,28.09,66.97
350,0,0.001,28.15,66.89
