t_s,co_ppm,co_stel15_ppm,co_twa8h_ppm,co_proj10_ppm,co_p_model,co_state,no2_ppm,no2_stel15_ppm,no2_twa8h_ppm,no2_proj10_ppm,no2_p_model,no2_state,model_ran,warmup_or_nodata
10,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
20,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
30,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
40,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
50,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
60,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
70,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
80,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
90,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
100,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
110,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
120,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
130,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
140,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
150,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
160,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
170,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
180,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
190,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
200,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
210,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
220,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
230,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
240,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
250,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
260,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
270,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
280,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
290,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
300,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
310,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
320,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
330,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
340,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
350,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
360,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
370,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
380,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
390,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
400,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
410,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
420,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
430,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
440,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
450,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
460,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
470,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
480,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
490,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
500,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
510,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
520,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
530,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
540,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
550,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
560,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
570,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
580,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
590,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
600,,,0,,,AN_TOAN,,,0,,,AN_TOAN,False,True
610,15.8,,0.005486,,,AN_TOAN,0.657,,0.0002281,,,AN_TOAN,False,False
620,15.8,,0.01097,,,AN_TOAN,0.684,,0.0004656,,,AN_TOAN,False,False
630,16.75,,0.01679,,,AN_TOAN,0.595,,0.0006722,,,AN_TOAN,False,False
640,18.2,,0.02311,,,AN_TOAN,0.6725,,0.0009057,,,AN_TOAN,False,False
650,17.45,,0.02917,,,AN_TOAN,0.657,,0.001134,,,AN_TOAN,False,False
660,15.2,16.53,0.03444,,,AN_TOAN,0.549,0.6357,0.001324,,,AN_TOAN,False,False
670,16.2,16.49,0.04007,,,AN_TOAN,0.6195,0.6334,0.00154,,,AN_TOAN,False,False
680,17.1,16.56,0.04601,,,AN_TOAN,0.6605,0.6368,0.001769,,,AN_TOAN,False,False
690,16.75,16.58,0.05182,,,AN_TOAN,0.556,0.6278,0.001962,,,AN_TOAN,False,False
700,16.1,16.54,0.05741,,,AN_TOAN,0.549,0.6199,0.002153,,,AN_TOAN,False,False
710,15.5,16.44,0.0628,,,AN_TOAN,0.727,0.6297,0.002405,,,AN_TOAN,False,False
