t_s,co_ppm,no2_ppm,temp_c,rh_pct
0,11,0.644,30.04,77.93
5,10.6,0.644,30.06,77.96
10,10.2,0.619,30.06,78.05
15,11.9,0.698,30.08,77.96
20,12.4,0.644,30.05,77.93
25,12.4,0.595,30.06,77.86
30,10.6,0.571,30.09,78
35,11.9,0.571,30.07,77.98
40,11,0.644,30.07,77.98
45,12.4,0.527,30.06,78.01
50,12.4,0.619,30.05,78.06
55,11.9,0.644,30.09,77.91
60,14,0.756,30.09,77.97
65,11,0.595,30.08,77.84
70,11,0.644,30.08,78.01
75,13.5,0.852,30.07,77.85
80,11.9,0.698,30.08,77.92
85,12.4,0.644,30.04,77.99
90,11.9,0.67,30.03,78
95,10.6,0.549,30.05,77.88
100,11.5,0.571,30.07,78.01
105,11,0.595,30.1,77.93
110,13.5,0.595,30.08,77.86
115,11.5,0.619,30.08,77.83
120,12.4,0.67,30.04,77.96
125,11.9,0.571,30.07,78
130,11.5,0.527,30.07,77.88
135,12.4,0.619,30.05,77.96
140,10.6,0.619,30.05,77.95
145,12.9,0.507,30.04,77.87
150,11.5,0.619,30.09,77.9
155,11.9,0.67,30.08,77.86
160,11.9,0.67,30.09,77.96
165,11.9,0.67,30.09,77.91
170,11.5,0.619,30.09,77.9
175,10.6,0.619,30.09,77.93
180,10.6,0.619,30.08,77.9
185,11.5,0.619,30.07,77.77
190,10.6,0.67,30.06,77.91
195,13.5,0.595,30.05,77.87
200,11.5,0.571,30.08,77.88
205,11.5,0.619,30.06,77.94
210,11.9,0.571,30.11,77.87
215,15.8,0.698,30.08,78
220,20.1,0.887,30.07,77.84
225,20.9,0.756,30.04,78.01
230,21.8,0.787,30.1,77.81
235,25.5,0.961,30.06,77.88
240,30,0.887,30.06,77.9
245,27.7,1,30.05,77.91
250,27.7,1.041,30.07,77.88
255,28.8,1,30.08,77.88
260,27.7,1.083,30.13,77.83
265,30,1,30.06,77.9
270,28.8,0.852,30.09,77.81
275,30,0.852,30.08,77.88
280,31.2,1,30.13,77.85
285,31.2,1.083,30.11,77.87
290,31.2,1,30.09,77.89
295,30,0.961,30.09,77.88
300,28.8,0.961,30.07,77.85
305,30,1,30.07,77.82
310,30,1.041,30.07,77.85
315,31.2,1.083,30.12,77.84
320,28.8,1,30.11,77.9
325,28.8,1.083,30.09,77.88
330,30,1.041,30.07,77.75
335,32.5,0.961,30.08,77.88
340,31.2,0.787,30.11,77.83
345,31.2,1.041,30.1,77.93
350,32.5,1,30.1,77.77
355,31.2,1.083,30.09,77.92
360,32.5,1.083,30.11,77.86
365,31.2,1.041,30.08,77.77
370,30,1.041,30.1,77.75
375,28.8,1.041,30.07,77.82
380,28.8,1,30.11,77.95
385,27.7,1,30.11,77.84
390,26.6,0.819,30.11,77.92
395,24.5,0.923,30.12,77.83
400,23.6,0.887,30.07,77.79
405,22.6,0.852,30.12,77.8
410,21.8,0.887,30.07,77.83
415,nan,0.726,30.1,77.91
420,nan,0.756,30.07,77.79
425,nan,0.819,30.08,77.82
430,nan,0.756,30.07,77.8
435,nan,0.67,30.12,77.81
440,nan,0.619,30.13,77.81
445,nan,0.756,30.11,77.85
450,nan,0.887,30.06,77.9
455,17.8,0.726,30.13,77.74
460,15.8,0.819,30.1,77.82
465,16.4,0.726,30.13,77.92
470,17.8,0.756,30.14,77.84
475,17.1,0.726,30.12,77.82
480,15.8,0.726,30.1,77.9
485,15.8,0.787,30.11,77.87
490,15.2,0.67,30.12,77.81
495,14,0.756,30.11,77.72
500,15.8,0.756,30.16,77.89
505,15.8,0.698,30.11,77.82
510,15.2,0.698,30.09,77.81
515,15.2,0.549,30.13,77.74
520,14.6,0.698,30.09,77.84
525,15.2,0.819,30.11,77.8
530,12.9,0.595,30.12,77.75
535,14.6,0.726,30.13,77.75
540,14,0.595,30.05,77.76
545,16.4,0.698,30.13,80.5
550,15.8,0.67,30.1,82.58
555,16.4,0.698,30.14,84.19
560,16.4,0.571,30.1,85.49
565,15.8,0.619,30.13,86.5
570,15.2,0.595,30.11,87.33
575,15.2,0.549,30.07,87.9
580,16.4,0.698,30.16,88.31
585,13.5,0.619,30.11,88.68
590,17.1,0.595,30.14,89.04
595,15.8,0.619,30.11,89.21
600,15.2,0.527,30.13,89.47
605,16.4,0.787,30.09,89.54
610,15.8,0.698,30.13,89.6
615,15.8,0.67,30.13,89.69
620,17.1,0.571,30.13,89.75
625,16.4,0.619,30.14,89.87
630,17.1,0.619,30.11,89.86
635,19.3,0.726,30.15,89.96
640,17.8,0.67,30.13,89.9
645,17.1,0.644,30.13,89.95
650,14.6,0.527,30.12,89.95
655,15.8,0.571,30.12,89.99
660,17.8,0.644,30.12,90.01
665,14.6,0.595,30.15,90
670,17.1,0.595,30.15,89.97
675,17.1,0.726,30.14,89.91
680,16.4,0.468,30.12,89.51
685,17.1,0.644,30.1,88.82
690,16.4,0.527,30.11,88.37
695,15.8,0.571,30.15,87.99
700,15.8,0.698,30.12,87.51
705,15.2,0.756,30.14,87.01
710,15.8,0.549,30.16,86.62
715,14.6,0.549,30.14,86.29
720,14.6,0.619,30.12,85.87
725,15.2,0.619,30.11,85.56
730,15.8,0.67,30.12,85.17
735,14.6,0.619,30.13,84.79
740,14,0.644,30.12,84.53
745,15.8,0.644,30.14,84.22
750,14,0.527,30.15,83.88
755,14.6,0.67,30.12,83.64
760,14.6,0.67,30.14,83.26
765,13.5,0.698,30.13,83.14
770,13.5,0.726,30.16,82.87
775,14,0.67,30.16,82.58
780,15.2,0.67,30.16,82.43
785,15.8,0.549,30.12,82.15
790,14.6,0.756,30.16,81.94
795,14.6,0.595,30.12,81.83
800,14,0.619,30.17,81.65
805,14,0.619,30.14,81.42
810,14,0.549,30.16,81.36
815,14,0.698,30.15,81.15
820,14,0.507,30.14,80.93
825,11.9,0.698,30.09,80.72
830,13.5,0.527,30.13,80.65
835,11.9,0.726,30.15,80.63
840,11.9,0.619,30.14,80.37
845,14,0.644,30.17,80.32
850,15.2,0.644,30.17,80.14
855,14.6,0.619,30.18,79.99
860,13.5,0.698,30.13,79.92
865,14,0.619,30.18,79.88
870,12.9,0.644,30.16,79.76
875,14,0.549,30.11,79.68
880,14,0.644,30.17,79.61
885,13.5,0.644,30.14,79.47
890,15.2,0.595,30.13,79.3
895,13.5,0.507,30.15,79.27
900,14,0.726,30.14,79.2
905,14,0.595,30.15,79.19
910,13.5,0.67,30.13,79.14
915,12.9,0.726,30.19,79.09
920,12.9,0.619,30.16,78.98
925,11.9,0.619,30.14,78.98
930,14,0.595,30.15,78.86
935,12.9,0.619,30.15,78.8
940,14,0.549,30.14,78.72
945,13.5,0.644,30.13,78.68
950,12.9,0.67,30.14,78.68
955,11.9,0.595,30.19,78.62
960,12.4,0.67,30.17,78.61
965,14,0.619,30.1,78.53
970,11.9,0.67,30.18,78.47
975,12.4,0.619,30.16,78.47
980,13.5,0.571,30.18,78.44
985,13.5,0.619,30.15,78.4
990,13.5,0.619,30.16,78.36
995,15.8,0.787,30.1,78.38
1000,13.5,0.726,30.14,78.21
